date,close,volume,open,high,low
11/7/16,17.01,91477200,16.86,17.04,16.85
11/4/16,16.55,82301190,16.53,16.71,16.3535
11/3/16,16.48,69544300,16.475,16.67,16.45
11/2/16,16.48,83952210,16.46,16.56,16.28
11/1/16,16.61,88459580,16.56,16.75,16.33
10/31/16,16.5,70304620,16.68,16.73,16.5
10/28/16,16.68,115048600,16.95,16.98,16.5
10/27/16,16.91,97832340,16.95,17.1,16.8644
10/26/16,16.87,58374650,16.64,16.87,16.62
10/25/16,16.72,49148130,16.71,16.82,16.68
10/24/16,16.77,68020520,16.75,16.8,16.61
10/21/16,16.67,77120540,16.46,16.67,16.4
10/20/16,16.56,88018040,16.45,16.63,16.41
10/19/16,16.47,97756510,16.3,16.53,16.28
10/18/16,16.26,71285410,16.19,16.27,16.11
10/17/16,16.05,101364400,16.17,16.195,15.9
10/14/16,16,108415200,16.15,16.23,15.94
10/13/16,15.83,78273640,16.09,16.09,15.6
10/12/16,16.03,66732500,16.09,16.24,16.01
10/11/16,16.11,76985220,16.26,16.33,16.025
10/10/16,16.3,63424070,16.215,16.4,16.185
10/7/16,16.13,99345410,16.19,16.25,15.98
10/6/16,16.22,75810060,16.17,16.23,16.035
10/5/16,16.11,85966080,15.96,16.23,15.96
10/4/16,15.8,98258480,15.7,16.05,15.67
10/3/16,15.63,69704340,15.59,15.73,15.5
9/30/16,15.65,119282800,15.26,15.73,15.17
9/29/16,15.16,78612500,15.38,15.5,15.06
9/28/16,15.38,65917160,15.36,15.39,15.15
9/27/16,15.29,81721530,15.01,15.34,14.81
9/26/16,15.09,94896990,15.4,15.44,15.02
9/23/16,15.52,51518640,15.53,15.67,15.5
9/22/16,15.6,75441030,15.69,15.71,15.5
9/21/16,15.65,95386000,15.71,15.83,15.39
9/20/16,15.6,68163650,15.74,15.76,15.51
9/19/16,15.59,66119120,15.55,15.78,15.55
9/16/16,15.49,89639580,15.66,15.68,15.48
9/15/16,15.67,67725620,15.64,15.745,15.58
9/14/16,15.63,75457300,15.67,15.84,15.56
9/13/16,15.72,89168790,15.67,15.86,15.55
9/12/16,15.9,109631500,15.65,15.94,15.48
9/9/16,15.74,131958500,15.91,16.15,15.74
9/8/16,15.86,69114840,15.77,15.94,15.68
9/7/16,15.7,63249180,15.72,15.85,15.65
9/6/16,15.78,96390360,16.05,16.06,15.7
9/2/16,16,100750500,15.94,16.06,15.82
9/1/16,15.98,128738000,16.15,16.15,15.75
8/31/16,16.14,127498100,16.21,16.24,15.88
8/30/16,16.19,121001200,15.87,16.23,15.8
8/29/16,15.84,120014900,15.81,16.01,15.775
8/26/16,15.79,126442200,15.61,15.9,15.58
8/25/16,15.53,67582070,15.42,15.54,15.4
8/24/16,15.4,65339410,15.37,15.5,15.36
8/23/16,15.35,67754690,15.26,15.41,15.26
8/22/16,15.18,60864460,15.2,15.25,15.12
8/19/16,15.22,58854230,15.13,15.25,15.05
8/18/16,15.16,62757720,15.11,15.24,15.06
8/17/16,15.15,93366220,15.16,15.24,15.08
8/16/16,15.17,80209200,14.97,15.19,14.93
8/15/16,15.02,48498850,14.97,15.03,14.945
8/12/16,14.91,62897640,14.77,14.91,14.7
8/11/16,14.88,68891590,14.83,14.97,14.745
8/10/16,14.81,78892040,15.16,15.18,14.78
8/9/16,15.19,49923750,15.11,15.19,15.07
