date,close,volume,open,high,low
14:53,26.315,"77,640,452",26.48,26.66,26.12
11/8/17,26.79,82995130,26.96,26.96,26.49
11/7/17,27.18,68280190,27.74,27.77,27.02
11/6/17,27.75,37207720,27.74,27.8199,27.62
11/3/17,27.82,37777920,27.73,27.82,27.62
11/2/17,27.87,59618060,27.51,27.935,27.275
11/1/17,27.53,46424500,27.64,27.73,27.36
10/31/17,27.39,50251580,27.64,27.72,27.34
10/30/17,27.6,51285650,27.65,27.76,27.46
10/27/17,27.8,58760610,27.68,27.96,27.618
10/26/17,27.74,55251610,27.69,27.98,27.68
10/25/17,27.63,81201170,27.89,27.92,27.34
10/24/17,27.68,89903990,27.35,27.84,27.34
10/23/17,27.16,69567640,27.22,27.43,27.09
10/20/17,27.17,83581310,27.04,27.18,26.9
10/19/17,26.58,54467190,26.2,26.59,26.15
10/18/17,26.48,55320380,26.34,26.55,26.33
10/17/17,26.2,48562680,26.37,26.43,26.11
10/16/17,26.24,71849110,25.87,26.33,25.87
10/13/17,25.83,104027000,25.38,26,25.12
10/12/17,25.45,71570850,25.87,25.93,25.34
10/11/17,25.83,51599570,25.93,25.93,25.65
10/10/17,25.93,46093060,25.83,25.95,25.71
10/9/17,25.85,55067210,26.26,26.27,25.76
10/6/17,26.21,53754320,26.25,26.3,26.04
10/5/17,26.13,62546480,25.77,26.23,25.66
10/4/17,25.71,53304740,25.86,25.95,25.7
10/3/17,25.86,55882290,25.75,25.93,25.62
10/2/17,25.62,53916310,25.46,25.65,25.39
9/29/17,25.34,63780050,25.41,25.48,25.31
9/28/17,25.45,64927000,25.59,25.64,25.34
9/27/17,25.41,92560680,25.31,25.64,25.18
9/26/17,24.81,48608460,24.83,24.955,24.685
9/25/17,24.76,62272900,24.94,25.08,24.58
9/22/17,25.02,61355480,25.01,25.07,24.85
9/21/17,25.16,57819200,25.05,25.28,24.92
9/20/17,25.06,82224360,24.88,25.24,24.67
9/19/17,24.86,56111750,24.7,24.99,24.62
9/18/17,24.7,67960290,24.42,24.77,24.41
9/15/17,24.38,85767250,24.21,24.41,24.15
9/14/17,24.24,69783480,24.38,24.54,24.2
9/13/17,24.33,86249830,23.92,24.35,23.871
9/12/17,23.95,99592440,23.46,24.03,23.45
9/11/17,23.36,73640670,23.22,23.41,23.08
9/8/17,22.89,67469130,22.93,23.23,22.85
9/7/17,22.97,103437900,23.38,23.41,22.75
