date,close,volume,open,high,low
14:57,178.35,"9,617,156",178.61,178.94,177.09
11/8/17,179.56,10467000,179.79,180.35,179.11
11/7/17,180.25,12895890,180.5,180.7478,178.96
11/6/17,180.17,13274060,178.56,180.45,178.31
11/3/17,178.92,17789310,179.29,179.86,176.71
11/2/17,178.92,35448690,180.63,181.94,177.34
11/1/17,182.66,37999510,182.36,182.9,180.57
10/31/17,180.06,19936260,180.57,180.8,178.94
10/30/17,179.87,24309980,179.26,180.69,177.61
10/27/17,177.88,30266080,174.15,178.21,173.9
10/26/17,170.63,11690100,171.38,172.285,170.39
10/25/17,170.6,15861100,171.9,172.25,168.89
10/24/17,171.8,12163060,172.3,173.24,171.5
10/23/17,171.27,13807700,175.2,175.34,171.25
10/20/17,174.98,12422870,175.5,175.88,174.63
10/19/17,174.56,13873480,174.93,176.03,172.63
10/18/17,176.03,12723070,176.65,176.74,175.75
10/17/17,176.11,15926670,174.71,176.13,174.36
10/16/17,174.52,11455560,174.49,175,174.06
10/13/17,173.74,13601140,173.45,174.65,173.2
10/12/17,172.55,10461960,172.61,173.85,172.29
10/11/17,172.74,11251830,171.95,172.78,171.4
10/10/17,171.59,11330830,173,173.2,170.8
10/9/17,172.5,14552670,172.7,174.88,172
10/6/17,172.23,12711640,170.25,172.37,169.75
10/5/17,171.24,14453310,169.18,171.31,168.6
10/4/17,168.42,11926980,169.83,170.67,168.29
10/3/17,169.96,8177141,169.3,170.73,169.2
10/2/17,169.47,13350740,171.39,171.87,168.75
9/29/17,170.87,15274870,168.83,171.66,168.81
9/28/17,168.73,12157690,167.94,169.0696,167.16
9/27/17,167.68,19131680,165.9,168.34,165.57
9/26/17,164.21,23083780,164.5,165.5,162.78
9/25/17,162.87,41207930,169.24,169.3,161.56
9/22/17,170.54,12040370,170.21,171.73,169.22
9/21/17,171.11,11088960,171.69,172.27,170.01
9/20/17,172.17,12226570,172.5,173.05,170.7
9/19/17,172.52,13021560,170.62,172.56,170.36
9/18/17,170.01,12898300,171.99,172.07,169.34
9/15/17,171.64,15643240,170.88,172.34,170.26
9/14/17,170.96,15564130,172.26,172.28,170.5
9/13/17,173.05,9112378,173.01,173.17,172.06
9/12/17,172.96,11179730,173.76,174,171.75
9/11/17,173.51,12353760,172.4,173.89,172.2
9/8/17,170.95,10985350,173.09,173.49,170.8
9/7/17,173.21,18039640,171.94,173.3067,170.27
9/6/17,172.09,13886740,170.91,172.48,169.57
9/5/17,170.72,13214940,171.27,172.3875,169.55
9/1/17,172.02,11663360,172.4,172.915,171.31
8/31/17,171.97,17216280,170.4,172.145,170.06
8/30/17,169.92,11117630,168.17,170.18,167.63
8/29/17,168.05,11111780,165.25,168.425,165
8/28/17,167.24,8477431,166.91,167.7,166.33
8/25/17,166.32,12589850,167.86,168.38,166.18
8/24/17,167.74,14015950,168.88,169.29,166.41
8/23/17,168.71,9838383,168.84,169.36,168.2
8/22/17,169.64,11377350,168.28,169.87,167.15
8/21/17,167.78,11898620,167.16,168,165.82
8/18/17,167.41,15065590,166.84,168.67,166.21
8/17/17,166.91,17009420,169.34,169.86,166.85
8/16/17,170,15732840,171.25,171.38,169.24
8/15/17,171,8713651,171.49,171.5,170.01
8/14/17,170.75,12940140,170.09,171.08,169.29
8/11/17,168.08,13778190,167.95,168.82,166.85
8/10/17,167.4,20551720,170.06,170.59,166.85
8/9/17,171.18,10800730,169.98,171.45,169.56
8/8/17,171.23,14317200,171.88,173.05,170.62
8/7/17,171.98,12765230,169.95,172.06,169.66
8/4/17,169.62,10505980,168.97,170.06,168.69
8/3/17,168.59,10519470,169.3,169.7,168.25
8/2/17,169.3,17181110,170.3,170.55,166.91
8/1/17,169.86,14286110,169.82,170.47,169.05
7/31/17,169.25,25429310,172,172.72,168.55
7/28/17,172.45,24546680,169.07,173.43,169.05
7/27/17,170.44,68454830,174.7,175.49,167.5
7/26/17,165.61,32989200,166.01,166.01,164.1
7/25/17,165.28,15309000,165.01,165.54,163.8619
7/24/17,166,17208500,164.64,166.17,164.31
7/21/17,164.43,14712450,164.16,165.05,163.75
7/20/17,164.53,18409730,164.8,165,162.81
7/19/17,164.14,26144510,163.59,165.7,163.17
7/18/17,162.86,23686800,159.66,163.73,159.42
7/17/17,159.73,12757430,160.25,160.78,158.81
7/14/17,159.97,16305570,160.13,160.32,159.3254
7/13/17,159.26,13912150,158.74,159.78,158.4227
7/12/17,158.9,22710090,156.49,159.16,156.2
7/11/17,155.27,13652540,153.37,155.4225,152.91
7/10/17,153.5,13326410,151.69,153.98,151.51
7/7/17,151.44,13249750,149.25,151.99,149.19
7/6/17,148.82,14934450,149.03,150.04,148
7/5/17,150.34,14321330,149,150.85,148.13
7/3/17,148.43,13862740,151.72,152.15,147.8
6/30/17,150.98,14909670,151.9,151.92,150.06
6/29/17,151.04,23948630,152.28,152.5,148.9175
6/28/17,153.24,16696230,150.92,153.47,149.86
6/27/17,150.58,19351560,152.84,153.31,150.39
6/26/17,153.59,18030200,156.25,156.5,153.1954
6/23/17,155.07,17897280,152.72,155.2,152.65
6/22/17,153.4,12835380,153.01,154.55,152.91
6/21/17,153.91,14943770,152.36,154.08,151.88
6/20/17,152.25,14733590,152.88,153.84,152.21
6/19/17,152.87,18944190,151.71,153.57,151.71
6/16/17,150.64,22843010,149.59,150.83,148.6
6/15/17,149.8,18956910,147.67,150.0366,146.3747
6/14/17,150.25,20774910,151.26,152.4,149.05
6/13/17,150.68,20474720,150.15,151.18,148.9
6/12/17,148.44,33150610,148.17,149.195,144.56
6/9/17,149.6,35541670,154.77,155.59,146.61
6/8/17,154.71,17795860,154.08,154.73,153.1
6/7/17,153.12,12040430,153.27,153.75,152.34
6/6/17,152.81,13443610,153.41,154.52,152.48
6/5/17,153.63,12504820,153.64,154.7088,153.41
6/2/17,153.61,16838650,151.85,153.63,151.3
6/1/17,151.53,14511530,151.75,152.29,150.3
5/31/17,151.46,18001140,152.7,153.35,151.09
5/30/17,152.38,13213700,151.97,152.9,151.64
5/26/17,152.13,14984540,152.23,152.25,151.15
5/25/17,151.96,19827210,150.3,152.59,149.95
5/24/17,150.04,17914740,148.51,150.23,148.42
5/23/17,148.07,12807840,148.52,148.81,147.25
5/22/17,148.24,12578390,148.08,148.59,147.69
5/19/17,148.06,16165160,148.445,149.39,147.96
5/18/17,147.66,22778870,144.72,148.15,144.51
5/17/17,144.85,28232610,148,148.67,144.4216
5/16/17,149.78,14506870,150.11,150.21,149.03
5/15/17,150.19,14952950,150.17,151.48,149.77
5/12/17,150.33,9584769,150.4,150.46,149.63
5/11/17,150.04,11832750,150.31,150.65,149.41
5/10/17,150.29,11994140,150.23,150.52,148.86
5/9/17,150.48,17381800,151.49,152.59,150.21
5/8/17,151.06,15813350,150.71,151.08,149.74
5/5/17,150.24,17104730,151.45,151.63,149.79
5/4/17,150.85,36185180,150.17,151.52,148.72
5/3/17,151.8,28301550,153.6,153.6,151.34
5/2/17,152.78,21617190,153.34,153.44,151.66
5/1/17,152.46,25170200,151.74,152.57,151.42
4/28/17,150.25,30607510,149.5,151.53,149.07
4/27/17,147.7,11072600,146.67,147.75,146.14
4/26/17,146.56,12388100,147.09,147.59,146.09
4/25/17,146.49,17718030,145.79,147.15,145.7898
