date,close,volume,open,high,low
14:59,8.445,"2,973,114",8.7,8.72,8.43
11/8/17,8.73,4231151,8.77,8.83,8.61
11/7/17,8.85,4094305,9,9,8.81
11/6/17,8.91,8963403,9.21,9.22,8.7901
11/3/17,9.13,7974588,9.43,9.6,9.1
11/2/17,9.58,11699390,9.57,9.64,9
11/1/17,10.67,9712234,10.47,10.67,10.29
10/31/17,10.43,6372726,10.68,10.7,10.22
10/30/17,10.34,7297049,10.08,10.5,10.05
10/27/17,10,4662715,10.07,10.1,9.76
10/26/17,9.86,7457040,9.65,10.03,9.64
10/25/17,9.62,6830835,9.71,9.86,9.46
10/24/17,9.4,2790627,9.41,9.51,9.37
10/23/17,9.4,4250480,9.44,9.54,9.31
10/20/17,9.48,4448718,9.31,9.53,9.24
10/19/17,9.21,4487343,9.49,9.54,9.17
10/18/17,9.47,10126940,9.68,9.85,9.46
10/17/17,9.23,8549343,9.1,9.4,9.05
10/16/17,9.08,10701420,9.59,9.6,9.03
10/13/17,9.56,4040645,9.62,9.74,9.535
10/12/17,9.58,4233971,9.59,9.69,9.47
10/11/17,9.63,5901268,9.71,9.79,9.42
10/10/17,9.75,4429296,9.84,9.95,9.705
10/9/17,9.81,6691824,9.95,10.175,9.71
10/6/17,9.88,10381920,9.76,10.18,9.7501
10/5/17,9.67,13477950,10.59,10.639,9.61
10/4/17,10.39,12555490,11.06,11.41,10.16
10/3/17,11.09,3062667,11.11,11.235,10.99
10/2/17,11.12,5187179,10.82,11.25,10.7
9/29/17,11.01,8006149,11.48,11.57,10.96
9/28/17,11.48,8115747,11.79,11.8,11.29
9/27/17,11.69,7719758,11.55,11.89,11.27
9/26/17,11.51,9033228,11.28,11.87,11.25
9/25/17,11.18,9280944,10.91,11.4,10.88
9/22/17,10.75,5595225,10.98,11.16,10.54
9/21/17,10.94,8355417,10.9,11.47,10.88
9/20/17,10.66,4165197,10.92,11.03,10.6101
9/19/17,10.97,4774250,11.17,11.27,10.87
9/18/17,11.12,6350738,11.63,11.73,11.05
9/15/17,11.52,7226886,11.2,11.69,11
9/14/17,11.23,7942925,11.36,11.6,11.06
9/13/17,11.41,10078830,10.72,11.61,10.68
9/12/17,10.89,8547246,11.09,11.29,10.6
9/11/17,10.92,17250170,10.36,11.37,10.31
9/8/17,10.26,9733854,10.1,10.4,9.83
9/7/17,10,32792360,10.01,10.89,9.8302
9/6/17,8.9,2882508,8.96,9.04,8.77
