date,close,volume,open,high,low
11/7/16,8.3,14124300,8.32,8.54,8.25
11/4/16,8.2,12096190,8.22,8.36,8.07
11/3/16,8.24,11889150,8.41,8.48,8.22
11/2/16,8.41,11420080,8.4,8.48,8.33
11/1/16,8.48,8663591,8.57,8.62,8.37
10/31/16,8.59,11181160,8.5,8.71,8.49
10/28/16,8.48,11742800,8.3,8.57,8.3
10/27/16,8.31,12363720,8.43,8.465,8.25
10/26/16,8.41,15601970,8.37,8.66,8.29
10/25/16,8.37,16177010,8.5,8.51,8.26
10/24/16,8.56,12329720,8.84,8.97,8.55
10/21/16,8.84,15867070,8.6,8.9,8.6
10/20/16,8.66,14719550,8.88,8.89,8.64
10/19/16,8.85,14386210,8.48,8.87,8.46
10/18/16,8.48,11160580,8.62,8.63,8.39
10/17/16,8.52,11342040,8.65,8.77,8.5
10/14/16,8.67,10756200,8.6,8.77,8.6
10/13/16,8.73,14875280,8.9,8.91,8.63
10/12/16,8.93,10474930,9.02,9.04,8.87
10/11/16,9.01,11024900,9.1,9.15,8.94
10/10/16,9.06,13514070,9.47,9.54,9.04
10/7/16,9.44,15754620,9.4,9.69,9.26
10/6/16,9.37,15106360,9.01,9.4,8.9
10/5/16,9.01,10046360,9.04,9.12,8.94
10/4/16,8.99,11575690,9,9.08,8.86
10/3/16,9.01,17597020,9.2,9.21,8.87
9/30/16,9.22,13975600,9.29,9.39,9.085
9/29/16,9.25,16445750,9.54,9.625,9.24
9/28/16,9.55,12112800,9.52,9.67,9.335
9/27/16,9.55,11438870,9.6,9.765,9.49
9/26/16,9.57,8402891,9.7,9.8,9.57
9/23/16,9.78,7764422,9.76,10.08,9.71
9/22/16,9.76,13222190,10.07,10.09,9.72
9/21/16,10,10347240,9.85,10.01,9.8
9/20/16,9.8,12052460,10.09,10.13,9.67
9/19/16,10.09,13736410,10.15,10.46,10.08
9/16/16,10.1,15254310,10.05,10.215,9.95
9/15/16,10.1,15720670,9.59,10.11,9.55
9/14/16,9.58,9586594,9.68,9.74,9.49
9/13/16,9.63,13537580,9.81,9.83,9.455
9/12/16,9.91,12666500,9.81,10.07,9.795
9/9/16,9.9,15161020,9.67,10.01,9.64
9/8/16,9.81,17593390,10.12,10.14,9.77
9/7/16,9.99,16968030,9.48,10.02,9.48
9/6/16,9.44,12881230,9.55,9.6,9.29
9/2/16,9.49,12883610,9.54,9.75,9.41
9/1/16,9.44,12839040,9.48,9.52,9.28
8/31/16,9.43,9722329,9.67,9.72,9.39
8/30/16,9.67,8676881,9.88,9.88,9.6
8/29/16,9.81,8293302,9.94,10.02,9.77
8/26/16,9.89,10414930,10.02,10.14,9.85
8/25/16,9.97,14838850,9.87,9.97,9.7
8/24/16,9.83,12363890,10.18,10.18,9.81
8/23/16,10.13,13724920,10.15,10.37,10.13
8/22/16,10.1,16729710,10.2,10.22,9.9
8/19/16,10.25,13289750,10.25,10.46,10.18
8/18/16,10.28,23003220,10.79,10.83,10.21
8/17/16,10.75,23510650,11.08,11.09,10.66
8/16/16,11.15,17862880,11.21,11.295,11.03
8/15/16,11.29,35183330,10.63,11.3,10.62
8/12/16,10.55,57461580,10.08,10.72,9.7
8/11/16,9.94,48380610,9.62,10.11,9.58
8/10/16,9.15,16158450,9.29,9.51,9.12
8/9/16,9.34,12611560,9.42,9.51,9.181
8/8/16,9.5,12319880,9.42,9.59,9.4
8/5/16,9.39,13440570,9.23,9.46,9.23
8/4/16,9.2,12379080,9.04,9.3,8.93
8/3/16,9.13,20487320,8.9,9.14,8.5
8/2/16,9.28,12363430,9.66,9.69,9.27
8/1/16,9.71,8967987,9.73,9.79,9.62
7/29/16,9.66,9941020,9.47,9.72,9.3
7/28/16,9.49,7449465,9.39,9.495,9.125
7/27/16,9.4,13240800,9.7,9.74,9.2
7/26/16,9.65,18503010,9.5,9.82,9.45
7/25/16,9.47,12404270,9.2,9.49,9.14
7/22/16,9.15,10483690,9.15,9.19,8.9401
7/21/16,9.09,14805490,8.85,9.22,8.85
7/20/16,8.87,7079870,8.59,8.88,8.5
7/19/16,8.55,6944442,8.7,8.73,8.5
7/18/16,8.7,8619558,8.5,8.71,8.45
7/15/16,8.46,9592599,8.6,8.67,8.42
7/14/16,8.57,5231492,8.57,8.63,8.51
7/13/16,8.49,8810138,8.56,8.69,8.45
7/12/16,8.56,12946080,8.72,8.8,8.525
7/11/16,8.68,9897935,8.52,8.72,8.51
7/8/16,8.49,14174100,8.57,8.67,8.385
7/7/16,8.47,13215090,8.58,8.73,8.355
7/6/16,8.54,15867740,8.6,8.67,8.3
7/5/16,8.66,11571680,8.85,8.9,8.5
7/1/16,8.93,8362333,8.8,9.1,8.79
6/30/16,8.88,9799229,8.88,8.92,8.74
6/29/16,8.88,16481830,8.79,9.1,8.79
6/28/16,8.69,14902240,8.49,8.75,8.48
6/27/16,8.43,16125990,8.43,8.51,8.01
6/24/16,8.46,16989790,8.31,8.53,8.15
6/23/16,8.55,15542880,8.48,8.865,8.46
6/22/16,8.42,7769018,8.56,8.62,8.41
6/21/16,8.58,7824302,8.52,8.62,8.39
6/20/16,8.46,7591724,8.58,8.65,8.45
6/17/16,8.48,9721417,8.26,8.56,8.26
6/16/16,8.26,8717368,8.33,8.365,8.16
6/15/16,8.35,17004730,8,8.65,7.99
6/14/16,8.02,9108924,8.05,8.12,7.91
6/13/16,8.08,8448307,8.2,8.325,8.05
6/10/16,8.2,8540759,8.23,8.3725,8.12
6/9/16,8.42,13702180,8.53,8.55,8.21
6/8/16,8.58,10266980,8.66,8.8,8.48
6/7/16,8.64,12044420,8.48,8.68,8.46
6/6/16,8.46,11656590,8.45,8.54,8.37
6/3/16,8.45,14313170,8.33,8.5,8.26
6/2/16,8.36,20240240,7.79,8.38,7.75
6/1/16,7.78,11904890,7.86,7.89,7.7
5/31/16,7.79,12682470,7.88,7.94,7.74
5/27/16,7.86,9911474,7.78,7.87,7.68
5/26/16,7.66,11518320,7.94,8,7.63
5/25/16,7.91,13812080,7.85,7.95,7.68
5/24/16,7.83,11659590,7.73,7.85,7.62
5/23/16,7.68,13529610,7.77,7.96,7.66
5/20/16,7.74,13063550,7.68,7.75,7.48
5/19/16,7.6,18761370,7.36,7.68,7.33
5/18/16,7.3,18374330,7.2,7.39,7.1
5/17/16,7.26,20317490,7.41,7.45,7.18
5/16/16,7.39,32371740,7.75,7.85,7.35
5/13/16,7.58,70728170,7.36,7.97,7.31
5/12/16,7.8,22444320,7.81,7.98,7.65
5/11/16,7.89,20876050,7.85,8.09,7.75
5/10/16,8.09,18743120,8.34,8.38,7.99
5/9/16,8.43,18472970,8.55,8.7,8.13
5/6/16,8.26,34083740,8.59,8.6,8.02
5/5/16,8.93,17368410,9,9.09,8.75
5/4/16,9.03,16466150,9.26,9.3,8.86
5/3/16,9.32,11501960,9.57,9.64,9.32
5/2/16,9.62,15178550,9.5,9.75,9.32
4/29/16,9.28,13701080,9.69,9.69,9.23
4/28/16,9.66,10534550,9.56,9.84,9.52
4/27/16,9.63,7555924,9.52,9.66,9.4
4/26/16,9.49,10691640,9.42,9.55,9.17
4/25/16,9.47,9895579,9.5,9.58,9.41
4/22/16,9.53,7622685,9.52,9.75,9.51
4/21/16,9.55,12386220,9.88,9.905,9.51
4/20/16,9.81,9163689,9.75,10.05,9.71
4/19/16,9.74,11790470,9.91,9.97,9.63
4/18/16,9.9,9550322,9.83,9.98,9.76
4/15/16,9.85,12915470,9.66,9.97,9.48
4/14/16,9.66,14216600,10.1,10.12,9.59
4/13/16,10.06,12447160,9.81,10.08,9.62
4/12/16,9.75,21584010,9.82,9.97,9.55
4/11/16,9.79,18664460,10.02,10.1,9.77
4/8/16,10.02,11854140,10.14,10.18,9.89
4/7/16,10.16,18917080,10.54,10.57,9.98
4/6/16,10.58,10176290,10.47,10.72,10.25
4/5/16,10.43,12154430,10.41,10.56,10.24
4/4/16,10.54,12009780,10.81,10.99,10.52
4/1/16,10.63,12668830,11.01,11.13,10.61
3/31/16,11.06,8691497,11.22,11.2999,11.03
3/30/16,11.22,12213690,11.47,11.5,11.04
3/29/16,11.43,11393920,11.32,11.46,11.2201
3/28/16,11.22,8286973,10.89,11.35,10.88
3/24/16,10.91,11330710,10.9,10.93,10.54
3/23/16,10.96,10055840,11.23,11.28,10.96
3/22/16,11.26,8445853,11.45,11.5101,11.25
3/21/16,11.53,5694188,11.53,11.73,11.43
3/18/16,11.57,12225380,11.52,11.85,11.48
3/17/16,11.52,8661526,11.2,11.605,11.0501
3/16/16,11.23,8526847,11.1,11.25,11
3/15/16,11.19,13579030,11.34,11.395,10.94
3/14/16,11.48,15333490,11.12,11.72,11.06
3/11/16,11.22,14142720,11.65,11.7,11.16
3/10/16,11.55,12668230,11.62,11.78,11.325
3/9/16,11.51,16326820,11.9,11.92,11.41
3/8/16,11.86,19343050,11.63,11.99,11.5
