date,close,volume,open,high,low
11/7/16,116.66,6397553,115.89,116.72,115.84
11/4/16,115.11,7160568,115.04,115.94,115.04
11/3/16,115.03,6227010,114.88,115.4393,114.75
11/2/16,114.86,6591283,115.52,115.76,114.83
11/1/16,115.34,7584930,114.76,115.94,114.63
10/31/16,115.99,8552218,115.28,116.23,114.5
10/28/16,115.33,8812952,115.82,115.91,114.57
10/27/16,115.7,7543980,114.98,116.55,114.79
10/26/16,114.56,6429053,113.64,115.22,113.6
10/25/16,113.96,5591160,113.64,114.16,113.093
10/24/16,113.61,6141630,113.93,114.1897,113.44
10/21/16,113.44,8412849,114.11,114.24,112.99
10/20/16,114.87,6969184,114.83,115.7,114.59
10/19/16,114.59,7397689,115.57,115.89,114.46
10/18/16,115.41,12596660,117.38,118.48,115.16
10/17/16,118.49,6951063,117.5,118.55,117.5
10/14/16,117.56,5639841,118.5,118.8,117.56
10/13/16,118.26,7387365,117.54,119.2,117.28
10/12/16,117.97,4685998,117.96,118.43,117.5
10/11/16,117.64,6394153,119.41,119.63,117.06
10/10/16,119.8,3628341,119.51,120.1955,119.35
10/7/16,119.24,4798331,119.17,119.565,118.69
10/6/16,118.75,4447824,118.5,118.85,117.92
10/5/16,119.18,5778614,119.22,119.44,118.595
10/4/16,118.82,5729753,118.84,119.48,118.28
10/3/16,118.81,6097487,118,119.01,117.43
9/30/16,118.13,7940863,117.78,118.619,117.39
9/29/16,117.27,6188019,118.88,119.27,117.0434
9/28/16,119.39,5075789,119.05,119.52,118.81
9/27/16,119.22,5349409,118.39,119.22,117.72
9/26/16,117.78,5996021,118.63,118.64,117.56
9/23/16,118.81,4772976,119.41,119.6,118.71
9/22/16,119.46,5340374,119.25,119.84,119.14
9/21/16,118.91,6336207,117.95,119,117.64
9/20/16,117.95,5181473,118.17,118.24,117.69
9/19/16,117.66,5454828,118.36,118.66,117.64
9/16/16,118.25,12378670,118.51,119.14,118.12
9/15/16,118.63,5814688,117.81,118.94,117.32
9/14/16,117.86,6124892,117.85,118.33,117.46
9/13/16,117.61,7955087,118.42,118.83,117.49
9/12/16,119.16,7239663,117.76,119.45,117.38
9/9/16,118.23,7955193,119.03,119.16,118.18
9/8/16,119.47,4832110,119.37,119.82,119.14
9/7/16,119.61,4753283,119.84,119.95,119.435
9/6/16,119.75,5280652,119.78,119.97,119.36
9/2/16,119.32,5806115,119.36,119.81,118.9
9/1/16,119.08,4548565,119.19,119.39,118.6
8/31/16,119.34,5693081,119.54,119.62,119.01
8/30/16,119.47,3819488,120.67,120.67,119.255
8/29/16,119.92,5074712,119.3,120.13,119.055
8/26/16,119.04,6482381,118.84,119.74,118.56
8/25/16,118.57,5565946,118.86,119.21,118.33
8/24/16,118.71,6299780,119.48,119.61,118.62
8/23/16,119.44,5603175,119.67,119.96,119.02
8/22/16,119.13,6544845,119.9,119.9,118.95
8/19/16,119.92,7797193,119.91,119.99,119.32
8/18/16,120.72,8725074,121.17,121.39,119.9
8/17/16,121.31,10441740,120.5,121.33,119.85
8/16/16,120.33,11288150,122.11,122.32,120.06
8/15/16,122.31,6468668,123.12,123.27,122.28
8/12/16,123.22,4228614,123.47,123.77,122.95
8/11/16,123.77,4051957,123.85,124.14,123.47
8/10/16,123.36,4318877,123.59,123.78,123.24
8/9/16,123.43,3938588,123.91,124,123.33
8/8/16,123.65,5229124,124,124.15,123.23
8/5/16,124.24,5145265,124.38,124.38,123.76
8/4/16,123.86,4727435,124.24,124.39,123.64
8/3/16,123.9,5310341,125,125,123.69
8/2/16,124.85,7156799,125.65,125.9,124.476
8/1/16,125.4,4614619,125.31,125.71,125.1
7/29/16,125.23,6963628,124.34,125.32,124.34
7/28/16,124.46,4320313,124.98,125,124.41
7/27/16,124.77,4811531,125.1,125.23,124.34
7/26/16,125.15,5589857,125.025,125.55,124.75
7/25/16,124.89,4880457,125.07,125.13,124.14
7/22/16,125.03,5839185,125.12,125.35,124.645
7/21/16,125.15,5563835,125.21,125.74,124.89
7/20/16,125.14,7334543,125.84,126.07,125.04
7/19/16,125.25,11321840,124.78,125.75,123.34
7/18/16,123.14,6587575,123,123.22,122.44
7/15/16,123,7192535,123.77,124.3,122.71
7/14/16,123.18,5321715,122.98,123.74,122.91
7/13/16,123,5227938,122.68,123.4,122.3
7/12/16,122.92,6415767,122.65,123.2,122.61
7/11/16,122.93,6707659,122.71,123.45,122.41
7/8/16,122.85,6129351,123,123.1,121.96
7/7/16,122.51,6058470,122.59,122.81,122.01
7/6/16,122.64,9332344,121.93,122.66,121.54
7/5/16,122.27,9322055,121.36,123.23,121.34
7/1/16,121.29,7051257,121.54,121.54,120.79
6/30/16,121.3,11537200,119.18,121.41,119.1601
6/29/16,119.33,8340085,118.84,119.41,118.1
6/28/16,118.23,10070980,117.17,118.37,116.55
6/27/16,116.55,10890560,115,116.64,115
6/24/16,115.63,13915580,115.07,117.12,115
6/23/16,117.38,6472270,117.2,117.38,116.68
6/22/16,116.46,5833746,116.54,117.21,116.3101
6/21/16,116.18,5491476,116.99,117.15,116.18
6/20/16,116.54,5584277,116.6,117.135,116.4297
6/17/16,115.48,10255580,116.62,116.67,115.01
6/16/16,116.64,6664815,115.69,116.89,115.22
6/15/16,116.41,6370379,117.64,117.74,116.335
6/14/16,117.12,6364715,116.45,117.18,116.3
6/13/16,116.79,7910783,117.13,117.64,116.79
6/10/16,117.01,6067228,116.74,117.23,116.36
6/9/16,117,7374973,115.78,117.19,115.61
6/8/16,115.8,5863774,115.52,115.95,115.41
6/7/16,115.73,6415155,116.01,116.23,115.45
6/6/16,115.77,6349658,114.97,116,114.9301
6/3/16,114.76,6881326,114.47,115.39,114.115
6/2/16,114.49,7310541,112.87,114.65,112.86
6/1/16,112.78,4749063,112.57,113.06,112.07
5/31/16,112.69,10104450,113.26,113.63,112.32
5/27/16,113.06,4647024,113.04,113.34,112.69
5/26/16,112.9,3973423,113.11,113.32,112.85
5/25/16,113.35,5453765,113.18,113.725,112.85
5/24/16,112.69,6124557,112.52,113.5,112.52
5/23/16,112.16,6462021,112.77,112.82,112.04
5/20/16,112.64,7434391,112.2,112.92,111.76
5/19/16,112.85,8230019,112.99,113.04,112.2
5/18/16,113.59,8264352,113.61,114.025,112.88
5/17/16,113.83,9233659,114.54,114.56,113.24
5/16/16,114.44,6222612,113.39,114.63,113.31
5/13/16,113.56,6779795,113.9,114.09,113.36
5/12/16,114.23,7154163,114.5,114.7599,82.76
5/11/16,114.37,6676999,114.57,114.76,114.31
5/10/16,114.67,8351637,114,115,113.92
5/9/16,113.72,6488507,112.98,113.99,112.73
5/6/16,112.74,6099837,112.58,113.05,112.275
5/5/16,112.88,5403239,112.08,113.1,112.04
5/4/16,112.22,5214547,112.04,112.54,111.7
5/3/16,112.69,7550689,112.56,113.1,112.12
5/2/16,112.75,5177120,112.22,112.7897,111.93
4/29/16,112.08,7741017,112.06,112.22,111.51
4/28/16,112.48,6636246,112.1,112.71,111.64
4/27/16,112.77,5759237,112.96,113.2,112.46
4/26/16,112.91,5836288,113.45,113.56,112.65
4/25/16,113.51,6130597,113.31,113.55,112.48
4/22/16,113.32,7507290,113.43,113.7531,112.828
4/21/16,113.57,7879219,113.31,113.73,112.77
4/20/16,113.58,8211879,113.19,114.19,113.05
