date,close,volume,open,high,low
11/7/16,3.66,5959665,3.58,3.69,3.58
11/4/16,3.57,5858270,3.57,3.65,3.52
11/3/16,3.58,9763276,3.55,3.64,3.525
11/2/16,3.51,19721210,3.27,3.55,3.21
11/1/16,3.05,9335790,3.17,3.2,3.01
10/31/16,3.15,4249918,3.15,3.19,3.14
10/28/16,3.15,3680830,3.12,3.17,3.11
10/27/16,3.12,4693903,3.2,3.22,3.1
10/26/16,3.21,3254609,3.16,3.24,3.16
10/25/16,3.17,6115667,3.22,3.25,3.15
10/24/16,3.24,6075320,3.26,3.3,3.22
10/21/16,3.26,8909492,3.29,3.31,3.22
10/20/16,3.32,6390579,3.25,3.335,3.24
10/19/16,3.24,7912597,3.25,3.275,3.21
10/18/16,3.25,8670582,3.3,3.31,3.23
10/17/16,3.26,8494043,3.35,3.38,3.25
10/14/16,3.34,7494032,3.29,3.36,3.28
10/13/16,3.26,8914768,3.33,3.355,3.255
10/12/16,3.39,19276550,3.39,3.43,3.19
10/11/16,3.37,14860330,3.6,3.64,3.34
10/10/16,3.58,5239511,3.56,3.59,3.52
10/7/16,3.53,4934934,3.55,3.5614,3.5
10/6/16,3.52,4936010,3.54,3.57,3.51
10/5/16,3.53,14619010,3.57,3.62,3.52
10/4/16,3.55,5497939,3.6,3.6,3.54
10/3/16,3.58,9840839,3.58,3.6,3.55
9/30/16,3.57,7884229,3.56,3.61,3.5099
9/29/16,3.52,7991593,3.58,3.63,3.51
9/28/16,3.56,7941360,3.59,3.68,3.53
9/27/16,3.62,9850709,3.6,3.63,3.5
9/26/16,3.6,5745943,3.68,3.69,3.58
9/23/16,3.71,12003270,3.63,3.86,3.58
9/22/16,3.63,5336223,3.6,3.69,3.6
9/21/16,3.6,6213976,3.56,3.61,3.52
9/20/16,3.55,6559606,3.58,3.61,3.54
9/19/16,3.59,7099539,3.66,3.73,3.52
9/16/16,3.67,15327530,3.59,3.68,3.56
9/15/16,3.58,6066767,3.74,3.74,3.53
9/14/16,3.54,4650098,3.68,3.69,3.53
9/13/16,3.65,10455150,3.78,3.82,3.62
9/12/16,3.82,8413749,3.64,3.82,3.64
9/9/16,3.67,10561540,3.7,3.78,3.66
9/8/16,3.75,5288275,3.77,3.81,3.71
9/7/16,3.75,6262537,3.58,3.76,3.58
9/6/16,3.61,9442541,3.66,3.68,3.53
9/2/16,3.71,4164961,3.67,3.71,3.61
9/1/16,3.62,5356494,3.62,3.68,3.53
8/31/16,3.68,5923325,3.72,3.74,3.62
8/30/16,3.7,3397471,3.67,3.73,3.67
8/29/16,3.69,7004197,3.63,3.7,3.6
8/26/16,3.65,4713776,3.61,3.67,3.59
8/25/16,3.61,6161684,3.62,3.67,3.58
8/24/16,3.62,4356796,3.62,3.69,3.58
8/23/16,3.66,5272873,3.5,3.66,3.5
8/22/16,3.53,5143411,3.52,3.57,3.49
8/19/16,3.52,3723949,3.54,3.58,3.5
8/18/16,3.54,3868377,3.54,3.58,3.5
8/17/16,3.52,11047500,3.75,3.79,3.5
8/16/16,3.78,7016897,3.75,3.78,3.67
8/15/16,3.77,6737620,3.62,3.78,3.62
8/12/16,3.64,4921460,3.61,3.67,3.6
8/11/16,3.63,7927079,3.54,3.66,3.54
8/10/16,3.55,4818511,3.57,3.595,3.54
8/9/16,3.59,6866101,3.58,3.63,3.56
8/8/16,3.58,6050864,3.54,3.6,3.53
8/5/16,3.56,5817764,3.54,3.6,3.51
8/4/16,3.51,5570931,3.49,3.55,3.45
8/3/16,3.48,26963020,3.46,3.59,3.32
8/2/16,3.29,10171660,3.47,3.53,3.29
8/1/16,3.51,3782000,3.44,3.55,3.44
7/29/16,3.46,6355236,3.53,3.53,3.42
7/28/16,3.51,5035265,3.61,3.64,3.49
7/27/16,3.61,14560610,3.54,3.63,3.52
7/26/16,3.52,4719432,3.43,3.53,3.42
7/25/16,3.45,4629981,3.49,3.51,3.44
7/22/16,3.47,2501449,3.47,3.49,3.42
7/21/16,3.47,9341597,3.45,3.54,3.45
7/20/16,3.47,7662718,3.45,3.48,3.41
7/19/16,3.44,4678999,3.4,3.45,3.395
7/18/16,3.4,4178760,3.33,3.41,3.33
7/15/16,3.36,7743732,3.42,3.44,3.32
7/14/16,3.39,5177885,3.34,3.4,3.34
7/13/16,3.33,5747314,3.36,3.39,3.33
7/12/16,3.35,11488550,3.32,3.36,3.29
7/11/16,3.28,12256920,3.32,3.38,3.25
7/8/16,3.29,10333760,3.27,3.355,3.25
7/7/16,3.26,8851514,3.28,3.37,3.23
7/6/16,3.26,8128000,3.19,3.27,3.17
7/5/16,3.22,8403758,3.39,3.4,3.18
7/1/16,3.4,6006539,3.31,3.44,3.31
6/30/16,3.31,7495712,3.27,3.31,3.23
6/29/16,3.24,8168107,3.22,3.3,3.21
6/28/16,3.2,11693390,3.16,3.27,3.16
6/27/16,3.14,16443710,3.35,3.37,3.11
6/24/16,3.4,57667120,3.35,3.47,3.3
6/23/16,3.46,8016854,3.49,3.529,3.46
6/22/16,3.48,11168740,3.47,3.5,3.44
6/21/16,3.45,6720013,3.45,3.49,3.37
6/20/16,3.48,8561727,3.33,3.48,3.31
6/17/16,3.3,9588250,3.29,3.36,3.27
6/16/16,3.28,6554247,3.33,3.35,3.24
6/15/16,3.37,12089480,3.37,3.435,3.28
