date,close,volume,open,high,low
11/9/16,216.3792,257961800,212.37,217.1,212.34
11/8/16,214.11,104838900,212.69,214.77,212.38
11/7/16,213.15,109397700,211.45,213.19,211.3
11/4/16,208.55,108488200,208.91,209.89,208.38
11/3/16,208.78,88715720,209.99,210.24,208.46
11/2/16,209.74,102709200,210.65,211.1,209.23
11/1/16,211.01,122395800,212.93,212.99,209.6
10/31/16,212.55,60669300,212.93,213.19,212.36
10/28/16,212.54,140491700,213.14,213.93,211.71
10/27/16,213.17,77031450,214.58,214.62,213.08
10/26/16,213.74,75561030,213.21,214.42,212.93
10/25/16,214.17,66356080,214.68,214.98,213.98
10/24/16,214.89,59934750,215,215.32,214.48
10/21/16,213.98,88974470,212.96,214.08,212.76
10/20/16,213.88,73492220,213.87,214.53,213.11
10/19/16,214.28,66342420,214.02,214.64,213.6
10/18/16,213.71,76618560,214.24,214.31,213.27
10/17/16,212.38,58185200,213.09,213.39,212.17
10/14/16,213.12,93285170,214.15,214.69,213.03
10/13/16,213.01,101184500,212.16,213.59,211.21
10/12/16,213.71,73322980,213.59,214.32,213.01
10/11/16,213.43,130183700,215.66,215.74,212.58
10/10/16,216.16,51620410,216.155,216.7,215.985
10/7/16,215.04,89597910,216.1,216.3,214.19
10/6/16,215.78,62519840,215.37,216.04,214.735
10/5/16,215.63,72685460,215.41,216.13,215.33
10/4/16,214.68,119749100,215.91,216.17,213.99
10/3/16,215.78,83386110,215.82,216.04,215.04
9/30/16,216.3,115113500,215.65,217.12,215.36
9/29/16,214.68,127225400,216.4,216.87,214.04
9/28/16,216.64,87095790,215.83,216.82,214.71
9/27/16,215.57,77854200,214.05,215.68,213.62
9/26/16,214.24,89700700,215.02,215.23,214.01
9/23/16,215.99,73464500,216.72,216.88,215.88
9/22/16,217.18,76535390,217,217.53,216.71
9/21/16,215.82,110068700,214.24,216.03,213.44
9/20/16,213.42,69217930,214.41,214.59,213.38
9/19/16,213.41,80099180,214.13,214.88,213.03
9/16/16,213.37,155109000,213.48,213.69,212.57
9/15/16,215.28,144092600,212.96,215.73,212.75
9/14/16,213.15,133064600,213.29,214.7,212.5
9/13/16,213.23,182323200,214.84,215.1499,212.5
9/12/16,216.34,167653400,212.39,216.81,212.31
9/9/16,213.28,220309300,216.97,217.03,213.25
9/8/16,218.51,73855230,218.62,218.94,218.15
9/7/16,219.01,76302150,218.84,219.22,218.3
9/6/16,219.0308,56528000,218.7,219.12,217.86
9/2/16,218.37,79119470,218.39,218.87,217.7
9/1/16,217.39,97720490,217.37,217.73,216.03
8/31/16,217.38,84916020,217.61,217.75,216.465
8/30/16,218,57588550,218.26,218.59,217.35
8/29/16,218.3608,70431280,217.44,218.665,217.4
8/26/16,217.29,122386400,217.92,219.12,216.25
8/25/16,217.7,69128600,217.4,218.19,217.22
8/24/16,217.85,71553010,218.8,218.91,217.36
8/23/16,218.97,53289030,219.25,219.6,218.9
8/22/16,218.53,61318460,218.26,218.8,217.83
8/19/16,218.54,75244030,218.31,218.75,217.74
8/18/16,218.86,52668540,218.34,218.9,218.21
8/17/16,218.37,74886240,218,218.53,217.02
8/16/16,217.96,53068810,218.6,218.68,217.96
8/15/16,219.09,49712550,218.89,219.5,218.88
